"19/05/2016;11:17:19","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"08/05/2016","17:45:12","ZaskiaMecca","short syiria 85.000  bahan: spandex rayon... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"08/05/2016","17:42:47","ZaskiaMecca","long syiria 110.000  bahan: spandex rayon... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"07/05/2016","19:09:42","ZaskiaMecca","elsafa 110.000  bahan: spandex rayon kombinasi ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"07/05/2016","19:04:39","ZaskiaMecca","elsa 110.000  bahan: spandex rayon... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"07/05/2016","17:19:07","ZaskiaMecca","hey dear, we have a good news for you"
"06/05/2016","22:57:26","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - dimohon membaca info album sebelum melakukan orderan.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"06/05/2016","22:34:01","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"06/05/2016","22:30:01","ZaskiaMecca","tutorial shawl najja  85.000  bahan: sifon ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"06/05/2016","10:21:33","ZaskiaMecca","shawl najja 85.000 bahan: sifon ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"06/05/2016","0:06:42","ZaskiaMecca","untuk order (pilih salah satu) whatsapp ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada keep/booking barang, apabila barang habis, customer bisa ganti barang lain/refund uang. proses refund kurang lebih 7 hari kerja di hari selasa/jumat. - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - dimohon membaca info album sebelum melakukan orderan.  - order = sabar - resi bisa diminta paling cepat h+2 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"05/05/2016","23:01:54","ZaskiaMecca","avanya 230.000 lebar bahu : 8cm lingkar ketiak : 44cm lingkar lengan : 30cm... lingkar dada : 89cm panjang baju belakang : 74cm panjang baju depan 63cm panjang lengan : 60cm bahan : royal satin untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang. proses refund kurang lebih 7 hari kerja, di hari selasa/jumat - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"05/05/2016","22:11:58","ZaskiaMecca","loewy pants bahan : spandex rayon harga : 250.000 lingkar pinggang : 64cm (max. 100cm) ling. pinggul : 116cm... ling. paha : 62cm panjang : 107cm untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang. proses refund kurang lebih 7 hari kerja, di hari selasa/jumat - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"05/05/2016","21:29:45","ZaskiaMecca","assalamualaikum, surabayaaa lets visit meccanism booth at surabaya fair lapangan parkir utara lenmarc 4-15 may 2016. and get  our latest collections, dear ðŸ˜˜"
"05/05/2016","17:50:20","ZaskiaMecca","mukena  harga : 300.000  detail atas : panjang dpn : 120cm panjang blkg : 130cm lingkar muka : 50cm max 53cm lingkar karet kepala : 26cm max 48cmbawah : lingkar pinggang : 56cm - max 90cm panjang : 115cm. bahan : katun paris untuk order (pilih salah satu)... whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang. proses refund kurang lebih 7 hari kerja, di hari selasa/jumat - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"04/05/2016","18:07:32","ZaskiaMecca","fanning pants 300.000 lingkar pinggang 64cm (max 96cm) pesak 24cm lingkar pinggul 84cm (stretch)... lingkar paha 50cm panjang 97cm lingkar pergelangan kaki 26cm bahan : crept jersey untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang. proses refund kurang lebih 7 hari kerja, di hari selasa/jumat - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"04/05/2016","14:38:29","ZaskiaMecca","lets join with us"
